1,6,1
2,6,12
3,9,73
4,2,123
5,7,85
6,8,161
7,4,76
8,7,5
9,3,8
10,10,120
11,10,62
12,1,9
13,7,172
14,4,1
15,4,3
16,9,10
17,5,52
18,10,182
19,2,116
20,8,42
21,6,119
22,4,43
23,5,170
24,4,56
25,4,59
26,8,48
27,3,23
28,6,35
29,3,186
30,1,198
31,5,3
32,2,128
33,7,24
34,8,8
35,8,102
36,9,2
37,4,1
38,3,125
39,7,56
40,7,110
41,8,182
42,1,145
43,6,71
44,5,104
45,9,195
46,2,134
47,7,9
48,5,182
49,1,93
50,5,98
51,10,129
52,1,57
53,6,41
54,6,12
55,2,93
56,7,143
57,4,8
58,5,115
59,1,50
60,1,132
61,3,62
62,2,197
63,10,16
64,9,81
65,7,36
66,4,140
67,6,2
68,1,116
69,2,68
70,7,36
71,3,93
72,4,181
73,8,24
74,10,108
75,4,141
76,8,157
77,5,121
78,6,63
79,7,100
80,9,81
81,5,121
82,5,93
83,8,26
84,1,50
85,5,4
86,3,58
87,2,175
88,10,131
89,9,21
90,1,142
91,3,32
92,9,158
93,10,71
94,4,5
95,10,66
96,7,187
97,9,114
98,8,35
99,8,40
100,4,158
101,8,161
102,6,8
103,6,140
104,6,108
105,3,158
106,2,171
107,7,150
108,7,147
109,1,57
110,2,12
111,3,2
112,9,66
113,5,58
114,10,84
115,8,26
116,7,159
117,3,32
118,1,4
119,9,131
120,3,12
121,9,34
122,10,24
123,4,90
124,8,155
125,9,200
126,1,9
127,1,2
128,4,11
129,4,4
130,2,129
131,6,106
132,3,86
133,7,149
134,2,134
135,9,32
136,3,135
137,7,56
138,3,128
139,4,173
140,7,6
141,4,198
142,10,84
143,7,1
144,2,49
145,6,61
146,5,87
147,1,87
148,4,84
149,3,51
150,3,185
151,5,42
152,6,107
153,9,62
154,9,34
155,6,120
156,6,71
157,5,62
158,5,21
159,6,153
160,5,6
161,3,102
162,8,34
163,6,96
164,6,162
165,3,197
166,4,10
167,5,49
168,4,152
169,5,143
170,3,73
171,9,54
172,1,72
173,1,187
174,4,115
175,7,84
176,5,72
177,4,74
178,6,21
179,2,34
180,2,84
181,10,67
182,9,141
183,6,88
184,9,164
185,2,54
186,8,196
187,1,90
188,10,128
189,7,44
190,8,182
191,3,163
192,2,183
193,2,23
194,6,108
195,1,163
196,8,94
197,3,122
198,9,33
199,7,7
200,2,172
201,3,1
202,3,34
203,5,35
204,5,156
205,6,186
206,1,7
207,3,58
208,2,44
209,6,186
210,10,140
211,5,124
212,5,2
213,4,125
214,6,7
215,5,6
216,2,83
217,3,191
218,9,40
219,6,200
220,3,187
221,3,80
222,9,36
223,10,129
224,1,9
225,2,74
226,2,191
227,5,39
228,10,113
229,9,179
230,1,4
231,9,133
232,10,6
233,7,186
234,9,76
235,7,90
236,4,94
237,3,156
238,2,69
239,3,122
240,6,59
241,4,88
242,3,66
243,5,155
244,3,112
245,6,197
246,9,26
247,4,29
248,2,14
249,5,4
250,5,142
251,4,181
252,9,167
253,1,134
254,5,170
255,4,143
256,4,80
257,3,6
258,7,8
259,2,91
260,9,56
261,6,47
262,4,182
263,4,102
264,7,86
265,5,180
266,1,116
267,5,174
268,9,4
269,3,183
270,10,91
271,10,141
272,5,73
273,6,112
274,10,3
275,4,90
276,1,50
277,6,196
278,2,54
279,2,62
280,10,85
281,1,116
282,7,173
283,7,39
284,5,118
285,6,126
286,3,168
287,9,8
288,10,20
289,5,2
290,6,101
291,5,75
292,4,83
293,6,58
294,4,193
295,5,10
296,7,3
297,1,124
298,7,150
299,3,5
300,3,76
301,4,130
302,6,104
303,2,131
304,2,147
305,8,121
306,4,35
307,5,192
308,8,91
309,6,71
310,3,78
311,1,154
312,8,131
313,10,3
314,6,127
315,2,88
316,7,187
317,1,16
318,8,37
319,3,113
320,1,37
321,10,47
322,7,124
323,2,41
324,4,68
325,2,191
326,5,70
327,10,162
328,9,40
329,8,89
330,4,11
331,4,33
332,4,117
333,10,59
334,6,121
335,6,58
336,10,92
337,6,31
338,4,104
339,7,184
340,5,14
341,9,178
342,8,12
343,9,85
344,8,45
345,8,76
346,7,52
347,3,181
348,1,7
349,6,65
350,8,14
351,7,195
352,9,76
353,4,169
354,2,85
355,6,7
356,8,192
357,10,86
358,5,143
359,2,31
360,5,50
361,2,134
362,8,40
363,10,195
364,9,28
365,3,74
366,2,167
367,10,64
368,2,200
369,1,31
370,1,7
371,8,36
372,2,115
373,4,86
374,3,147
375,9,193
376,2,55
377,9,118
378,3,139
379,7,17
380,8,87
381,1,79
382,8,146
383,1,123
384,7,27
385,10,45
386,4,108
387,7,195
388,1,36
389,3,9
390,2,95
391,1,59
392,10,199
393,6,7
394,9,170
395,1,170
396,5,18
397,8,83
398,3,169
399,10,122
400,5,83
